STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,sector,Sector,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2023-Q2,,-1.6,,,,,
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2023-Q3,,-2.3,,,,,
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2023-Q4,,-1.8,,,,,
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2024-Q1,,-5.9,,,,,
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2024-Q2,,-3.7,,,,,
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2024-Q3,,-4.3,,,,,
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2024-Q4,,-4.8,,,,,
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2025-Q1,,-6.9,,p,provisional,,
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2025-Q2,,-3.6,,p,provisional,,
dataflow,ESTAT:GOV_10Q_GGNFA(1.0),Quarterly non-financial accounts for general government,Q,Quarterly,PC_GDP,Percentage of gross domestic product (GDP),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),S13,General government,B9,Net lending (+)/net borrowing (-),AT,Austria,2025-Q3,,-3.1,,p,provisional,,
