STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),sector,Sector,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2024-Q4,,79.9,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),BE,Belgium,2024-Q4,,103.9,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),BG,Bulgaria,2024-Q4,,23.8,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),CY,Cyprus,2024-Q4,,62.8,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),DE,Germany,2024-Q4,,62.2,,p,provisional,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),EA21,Euro area – 21 countries (from 2026),2024-Q4,,86.6,,p,provisional,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),EE,Estonia,2024-Q4,,23.5,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),EL,Greece,2024-Q4,,154.2,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),ES,Spain,2024-Q4,,101.6,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),FI,Finland,2024-Q4,,82.5,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),FR,France,2024-Q4,,113.2,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),HR,Croatia,2024-Q4,,57.4,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),IE,Ireland,2024-Q4,,38.3,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),IT,Italy,2024-Q4,,134.9,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),LT,Lithuania,2024-Q4,,38.0,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),LU,Luxembourg,2024-Q4,,26.3,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),LV,Latvia,2024-Q4,,46.6,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),MT,Malta,2024-Q4,,46.0,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),NL,Netherlands,2024-Q4,,43.7,,p,provisional,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),NO,Norway,2024-Q4,,53.3,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),PT,Portugal,2024-Q4,,93.6,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),SE,Sweden,2024-Q4,,34.0,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),SI,Slovenia,2024-Q4,,66.6,,,,,
dataflow,ESTAT:TEINA230(1.0),General government gross debt - quarterly data,Q,Quarterly,GD,Government consolidated gross debt,S13,General government,PC_GDP,Percentage of gross domestic product (GDP),SK,Slovakia,2024-Q4,,59.7,,,,,
